value,NAME
0,HU0
1,ZPP1208
18,ZPP1209
26,26
27,27
28,28
29,29
30,HU30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
110,HU110
120,HU120
130,HU130
132,HU132
150,HU150
160,HU160
300,HU300
310,HU310
320,HU320
330,HU330
370,HU370
380,HU380
390,HU390
400,HU400
567,ZPP581
586,ZPP952
991,ZPP1208
1037,ZPP1507
1047,ZPP952
1049,ZPP447
1051,ZPP447
1052,ZPP1499
1053,ZPP581
1055,ZPP1499
1099,ZPP1507
1131,ZPP952
1322,ZPP401
1327,ZPP447
1329,ZPP952
1331,ZPP1204
1352,ZPP952
1415,ZPP447
